fold,test_start,strategy,total_return,max_drawdown,sharpe,sortino,profit_factor,n_trades
8,2024-03-14 04:15:00+00:00,random,-0.3034972052075209,-0.3036101668043085,-17.919014604900948,-25.42704331892487,0.22407789132968936,984
8,2024-03-14 04:15:00+00:00,ema_cross,-0.1811795837425325,-0.18156133263684238,-10.333872244861382,-13.763199967073533,0.2578518475910144,365
8,2024-03-14 04:15:00+00:00,rsi_reversion,0.0006489465209411627,-0.05359564749202261,0.1009698764841583,0.15127904539427636,1.0175553108907824,33
8,2024-03-14 04:15:00+00:00,vwap_reversion,-0.022682009550684556,-0.05085949908298304,-1.0976780708699612,-1.5708444063039715,0.6927328272574758,48
9,2024-05-05 06:15:00+00:00,buy_and_hold,0.001891539386832175,-0.013479830042467777,0.347468835832612,0.4899843573906583,inf,1
9,2024-05-05 06:15:00+00:00,random,-0.31013602174539,-0.31015784826531756,-53.41559538631585,-59.191290013080724,0.0929337787935213,984
9,2024-05-05 06:15:00+00:00,ema_cross,-0.17597556684034144,-0.1763364878929301,-30.393574392626192,-36.652868757215494,0.14590800206723661,369
9,2024-05-05 06:15:00+00:00,rsi_reversion,-0.018351446537708704,-0.02110717981346666,-3.2757097129422936,-4.511261190070142,0.3709106676008866,26
9,2024-05-05 06:15:00+00:00,vwap_reversion,-0.004952244609527479,-0.013786273876297384,-0.8672647343333892,-1.2136039194063393,0.7720292011342791,22
10,2024-06-26 08:15:00+00:00,buy_and_hold,0.021636262012633134,-0.015381163742546722,2.9862263326521137,4.2002974637343815,inf,1
10,2024-06-26 08:15:00+00:00,random,-0.31660041138756356,-0.3178379490456369,-47.57668054237684,-54.323857983895785,0.1106689851701316,984
10,2024-06-26 08:15:00+00:00,ema_cross,-0.18267497593389093,-0.1833534520320379,-26.58479154722001,-33.364699910687285,0.18619025188031157,383
10,2024-06-26 08:15:00+00:00,rsi_reversion,0.0034257958424959156,-0.010094412258939367,0.5087099669064105,0.7207536894003,1.115626418070812,40
10,2024-06-26 08:15:00+00:00,vwap_reversion,0.0022780451530781676,-0.01161145474370695,0.34734556346987244,0.49485714987124524,1.076534408458588,30
